,日期,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
318,2020-02-18,福建省,292,91,0,三明,0,0,0,14,3,0
319,2020-02-18,福建省,292,91,0,龙岩,0,0,0,6,1,0
320,2020-02-18,福建省,292,91,0,待明确地区,0,-1,0,0,1,0
321,2020-02-18,河北省,302,123,4,唐山,0,0,1,51,10,1
322,2020-02-18,河北省,302,123,4,沧州,1,0,0,48,18,2
323,2020-02-18,河北省,302,123,4,张家口,0,0,0,34,9,0
324,2020-02-18,河北省,302,123,4,邯郸,0,0,0,31,10,0
325,2020-02-18,河北省,302,123,4,石家庄,0,0,0,28,11,0
326,2020-02-18,河北省,302,123,4,廊坊,0,0,0,30,16,0
327,2020-02-18,河北省,302,123,4,邢台,0,0,0,23,10,1
328,2020-02-18,河北省,302,123,4,秦皇岛,0,0,0,10,3,0
329,2020-02-18,河北省,302,123,4,保定,0,-1,0,32,26,0
330,2020-02-18,河北省,302,123,4,承德,0,0,0,7,4,0
331,2020-02-18,河北省,302,123,4,衡水,0,2,0,8,6,0
332,2020-02-18,重庆市,553,225,5,万州区,0,1,0,108,36,3
333,2020-02-18,重庆市,553,225,5,江北区,0,2,0,28,5,0
334,2020-02-18,重庆市,553,225,5,合川区,0,1,0,23,7,0
335,2020-02-18,重庆市,553,225,5,綦江区,0,1,0,23,7,0
336,2020-02-18,重庆市,553,225,5,潼南区,0,0,0,18,2,0
337,2020-02-18,重庆市,553,225,5,垫江县,0,0,0,20,6,0
338,2020-02-18,重庆市,553,225,5,奉节县,0,0,0,20,6,0
339,2020-02-18,重庆市,553,225,5,长寿区,0,0,0,21,9,0
340,2020-02-18,重庆市,553,225,5,南岸区,0,0,0,15,3,0
341,2020-02-18,重庆市,553,225,5,两江新区,0,0,0,17,7,0
342,2020-02-18,重庆市,553,225,5,云阳县,1,0,0,25,16,0
343,2020-02-18,重庆市,553,225,5,九龙坡区,0,2,0,20,10,1
344,2020-02-18,重庆市,553,225,5,忠县,0,1,0,20,11,0
345,2020-02-18,重庆市,553,225,5,渝北区,0,-1,0,16,7,0
346,2020-02-18,重庆市,553,225,5,大足区,0,2,0,14,5,0
347,2020-02-18,重庆市,553,225,5,渝中区,0,0,0,20,12,0
348,2020-02-18,重庆市,553,225,5,石柱县,0,-2,0,14,7,0
349,2020-02-18,重庆市,553,225,5,丰都县,0,0,0,10,3,0
350,2020-02-18,重庆市,553,225,5,沙坪坝区,0,0,0,8,1,0
351,2020-02-18,重庆市,553,225,5,开州区,0,0,0,20,13,1
352,2020-02-18,重庆市,553,225,5,铜梁区,0,0,0,9,3,0
353,2020-02-18,重庆市,553,225,5,巫山县,0,0,0,10,5,0
354,2020-02-18,重庆市,553,225,5,荣昌区,0,1,0,9,4,0
355,2020-02-18,重庆市,553,225,5,巫溪县,0,-1,0,13,9,0
